size,rep,src,algo,time_sec,co2_kg,nodes,edges
100,1,77,classic,0.0017583490007382352,3.61075283576051e-08,100,484
100,1,11,classic,0.0013633460002893116,2.7996179567313454e-08,100,484
100,1,0,classic,0.0012228849991515744,2.5111826358940645e-08,100,484
100,1,82,classic,0.001224748999447911,2.5150103426536613e-08,100,484
100,1,62,classic,0.0012201030003780033,2.505469828051858e-08,100,484
100,1,77,minheap,0.00198120399909385,3.901476054588253e-08,100,484
100,1,11,minheap,0.001386667001497699,2.7306870491405115e-08,100,484
100,1,0,minheap,0.0012659740004892228,2.493012961259438e-08,100,484
100,1,82,minheap,0.0011797570005001035,2.3232305657515384e-08,100,484
100,1,62,minheap,0.0012659690000873525,2.4930031142430938e-08,100,484
100,1,77,networkx,0.0015432230011356296,4.1021537690783754e-08,100,484
100,1,11,networkx,0.001066052000169293,2.833750681081033e-08,100,484
100,1,0,networkx,0.0009540270002617035,2.5359688470468377e-08,100,484
100,1,82,networkx,0.0008438909990218235,2.2432082983348714e-08,100,484
100,1,62,networkx,0.0008202540011552628,2.1803770679704607e-08,100,484
100,2,96,classic,0.0013689999996131519,3.086201887114317e-08,100,482
100,2,75,classic,0.0013242059994809097,2.985220639650044e-08,100,482
100,2,57,classic,0.001190450999274617,2.6836903736425333e-08,100,482
100,2,43,classic,0.0012866329998360015,2.9005180374284022e-08,100,482
100,2,12,classic,0.0009960299994418165,2.2453978559301927e-08,100,482
100,2,96,minheap,0.0017572340002516285,3.506803538002877e-08,100,482
100,2,75,minheap,0.0013953139987279428,2.784542108030815e-08,100,482
100,2,57,minheap,0.001221791000716621,2.438252960846187e-08,100,482
100,2,43,minheap,0.0011210970005777199,2.237304153861917e-08,100,482
100,2,12,minheap,0.0014849010003672447,2.9633253630001513e-08,100,482
100,2,96,networkx,0.0011412910007493338,4.0645431005859826e-08,100,482
100,2,75,networkx,0.000759984000978875,2.7065732803520662e-08,100,482
100,2,57,networkx,0.0007053399986034492,2.511966556302183e-08,100,482
100,2,43,networkx,0.0006661300012638094,2.3723258125688228e-08,100,482
100,2,12,networkx,0.0006137289983598748,2.185707207255074e-08,100,482
100,3,91,classic,0.001319619999776478,3.228805058919077e-08,100,495
100,3,84,classic,0.0011369470012141392,2.7818464632734353e-08,100,495
100,3,54,classic,0.0011201549987163162,2.7407603152736047e-08,100,495
100,3,86,classic,0.0010707010005717166,2.619757814993142e-08,100,495
100,3,33,classic,0.0010307270003977465,2.5219506780834187e-08,100,495
100,3,91,minheap,0.0013914070004830137,3.130986040959009e-08,100,495
100,3,84,minheap,0.0011993440002697753,2.6988000792356563e-08,100,495
100,3,54,minheap,0.00115869000001112,2.6073192204540007e-08,100,495
100,3,86,minheap,0.0011738289995264495,2.6413854542304064e-08,100,495
100,3,33,minheap,0.001250889999937499,2.8147904439318923e-08,100,495
100,3,91,networkx,0.0008964440003182972,3.378903134792572e-08,100,495
100,3,84,networkx,0.0006541289985761978,2.4655622917472354e-08,100,495
100,3,54,networkx,0.000775083999542403,2.921469444663018e-08,100,495
100,3,86,networkx,0.0006809400001657195,2.5666191087771868e-08,100,495
100,3,33,networkx,0.0006603950005228398,2.489180290877809e-08,100,495
100,4,90,classic,0.0014640270001109457,3.423379346980343e-08,100,505
100,4,14,classic,0.0011052600002585677,2.58446344066191e-08,100,505
100,4,73,classic,0.001095072000680375,2.5606405280104446e-08,100,505
100,4,64,classic,0.0011584290004975628,2.7087901486420058e-08,100,505
100,4,28,classic,0.0011199340005987324,2.618776106820591e-08,100,505
100,4,90,minheap,0.0021874030007893452,3.4731340399118395e-08,100,505
100,4,14,minheap,0.0020077890003449284,3.1879449372347694e-08,100,505
100,4,73,minheap,0.001661815000261413,2.6386112862427455e-08,100,505
100,4,64,minheap,0.0014898079989507096,2.3655004917801865e-08,100,505
100,4,28,minheap,0.0014481520011031535,2.299359563913381e-08,100,505
100,4,90,networkx,0.001938407000125153,1.650735687468891e-09,100,505
100,4,14,networkx,0.0014662090015917784,1.2486147254211385e-09,100,505
100,4,73,networkx,0.001190800998301711,1.0140789341161592e-09,100,505
100,4,64,networkx,0.001058850999470451,9.017111124883089e-10,100,505
100,4,28,networkx,0.0009018689997901674,7.680261902063822e-10,100,505
100,5,56,classic,0.0013571600011346163,3.412165039093869e-08,100,476
100,5,38,classic,0.0010748740005510626,2.7024429566484894e-08,100,476
100,5,44,classic,0.0010275280001224019,2.5834058738664015e-08,100,476
100,5,69,classic,0.00103099099942483,2.592112529780423e-08,100,476
100,5,32,classic,0.0010252040010527708,2.5775628867686e-08,100,476
100,5,56,minheap,0.0014582849998987513,3.4012472996998515e-08,100,476
100,5,38,minheap,0.0011751239999284735,2.740813580230691e-08,100,476
100,5,44,minheap,0.0011506850005389424,2.6838130071693345e-08,100,476
100,5,69,minheap,0.0010702419986046152,2.496190873548076e-08,100,476
100,5,32,minheap,0.0011003199997503543,2.566343635308923e-08,100,476
100,5,56,networkx,0.001422166998963803,3.963774980191336e-08,100,476
100,5,38,networkx,0.0013018049994570902,3.6283095372735083e-08,100,476
100,5,44,networkx,0.0008585739997215569,2.3929637948417398e-08,100,476
100,5,69,networkx,0.0007199829997261986,2.0066916209960853e-08,100,476
100,5,32,networkx,0.0006857290009065764,1.911221016213631e-08,100,476
100,6,82,classic,0.0017095210005209083,3.866353734946815e-08,100,503
100,6,3,classic,0.0012375300011626678,2.798870994065625e-08,100,503
100,6,8,classic,0.0011402600011933828,2.5788794130526243e-08,100,503
100,6,5,classic,0.001048228001309326,2.3707344026210917e-08,100,503
100,6,18,classic,0.0010137030003534164,2.292650619880635e-08,100,503
100,6,82,minheap,0.0026597729993227404,4.325113318759252e-08,100,503
100,6,3,minheap,0.0015731849998701364,2.558189513745405e-08,100,503
100,6,8,minheap,0.001603892000275664,2.6081228187556114e-08,100,503
100,6,5,minheap,0.0014738379995833384,2.3966392482796604e-08,100,503
100,6,18,minheap,0.0012873020004917635,2.093309101569972e-08,100,503
100,6,82,networkx,0.0013597659999504685,4.072603468638713e-08,100,503
100,6,3,networkx,0.0009035180009959731,2.7061057159597705e-08,100,503
100,6,8,networkx,0.0008457120002276497,2.5329723097370957e-08,100,503
100,6,5,networkx,0.0007839620011509396,2.348026326062399e-08,100,503
100,6,18,networkx,0.0007392219995381311,2.214026589518124e-08,100,503
100,7,21,classic,0.0013318210003490094,3.3936138990268096e-08,100,502
100,7,2,classic,0.0010414699991088128,2.6537703366059817e-08,100,502
100,7,30,classic,0.0010342010009480873,2.635248197982418e-08,100,502
100,7,46,classic,0.0010424520005472004,2.6562725750669337e-08,100,502
100,7,53,classic,0.0009982289993786253,2.5435879189584722e-08,100,502
100,7,21,minheap,0.0026664080014597857,4.1504088964488565e-08,100,502
100,7,2,minheap,0.0023126819996832637,3.599815159903357e-08,100,502
100,7,30,minheap,0.0014433199994527968,2.2466059818571965e-08,100,502
100,7,46,minheap,0.0013003000003664056,2.0239875842776472e-08,100,502
100,7,53,minheap,0.0012658800005738158,1.970410984868734e-08,100,502
100,7,21,networkx,0.0018625570010044612,4.416987090186908e-08,100,502
100,7,2,networkx,0.0012628679996851133,2.9948461433454674e-08,100,502
100,7,30,networkx,0.0010279329999320908,2.4377062220531043e-08,100,502
100,7,46,networkx,0.0008726470005058218,2.069451046838223e-08,100,502
100,7,53,networkx,0.0008345059995917836,1.9790010318570654e-08,100,502
100,8,98,classic,0.0022485579993372085,4.7356264981478605e-08,100,451
100,8,10,classic,0.0012445219999790424,2.621053743050407e-08,100,451
100,8,93,classic,0.0010898700002144324,2.2953453965044333e-08,100,451
100,8,90,classic,0.00104879300124594,2.208834252545984e-08,100,451
100,8,51,classic,0.0009840370003075805,2.0724534102247384e-08,100,451
100,8,98,minheap,0.0015295530010916991,3.4562365451150754e-08,100,451
100,8,10,minheap,0.0011296749999019084,2.5526568977845895e-08,100,451
100,8,93,minheap,0.0011328749988024356,2.5598877378642965e-08,100,451
100,8,90,minheap,0.001144904001193936,2.587068932394402e-08,100,451
100,8,51,minheap,0.0012101399988750927,2.7344786913774047e-08,100,451
100,8,98,networkx,0.0010995660013577435,3.929691042433292e-08,100,451
100,8,10,networkx,0.0007417130000249017,2.6507757866786596e-08,100,451
100,8,93,networkx,0.0006980289999773959,2.4946554414948618e-08,100,451
100,8,90,networkx,0.0006720250003127148,2.401720879655414e-08,100,451
100,8,51,networkx,0.0006555979998665862,2.3430131382124363e-08,100,451
100,9,76,classic,0.0017994699992414098,3.8277176957560155e-08,100,496
100,9,26,classic,0.0013395970017882064,2.849505216029179e-08,100,496
100,9,50,classic,0.001181094999992638,2.5123498773231088e-08,100,496
100,9,51,classic,0.0010966170011670329,2.3326536716941513e-08,100,496
100,9,52,classic,0.0011294800005998695,2.4025577459591948e-08,100,496
100,9,76,minheap,0.002110760000505252,3.712268586357982e-08,100,496
100,9,26,minheap,0.001970810000784695,3.466133550873573e-08,100,496
100,9,50,minheap,0.0012945380003657192,2.2767499627878132e-08,100,496
100,9,51,minheap,0.0012106659996788949,2.1292412960752717e-08,100,496
100,9,52,minheap,0.0013494390004780143,2.373306301749952e-08,100,496
100,9,76,networkx,0.001314735998676042,3.761703468449646e-08,100,496
100,9,26,networkx,0.0008466489998681936,2.4224197729207917e-08,100,496
100,9,50,networkx,0.0008409689999098191,2.4061682398634115e-08,100,496
100,9,51,networkx,0.0009565479995217174,2.736861188225548e-08,100,496
100,9,52,networkx,0.0008904619990062201,2.5477768871906246e-08,100,496
100,10,25,classic,0.0017810859990277095,3.3765708165469606e-08,100,504
100,10,8,classic,0.0013200609992054524,2.5025627333055054e-08,100,504
100,10,71,classic,0.0016794229995866772,3.1838387883222646e-08,100,504
100,10,33,classic,0.0013543180011765799,2.567506926444548e-08,100,504
100,10,5,classic,0.0012183549988549203,2.3097491842467892e-08,100,504
100,10,25,minheap,0.0034252380010002526,4.7917780513936336e-08,100,504
100,10,8,minheap,0.002361740998821915,3.303986081529666e-08,100,504
100,10,71,minheap,0.0016385800008720253,2.2923112733591772e-08,100,504
100,10,33,minheap,0.0013810399996145861,1.9320225795455195e-08,100,504
100,10,5,minheap,0.0012150700003985548,1.6998368455320135e-08,100,504
100,10,25,networkx,0.0015219039996736683,4.263399783015023e-08,100,504
100,10,8,networkx,0.0009784570011106553,2.74100952958871e-08,100,504
100,10,71,networkx,0.0008538670008420013,2.3919881851247244e-08,100,504
100,10,33,networkx,0.0007920450007077307,2.218802555798223e-08,100,504
100,10,5,networkx,0.0008129130001179874,2.2772613180964513e-08,100,504
100,11,32,classic,0.0018243089998577489,3.912991086724895e-08,100,511
100,11,18,classic,0.00149707499986107,3.21110137102422e-08,100,511
100,11,67,classic,0.0011089350009569898,2.3785733528915986e-08,100,511
100,11,98,classic,0.0009930609994626138,2.130033256303797e-08,100,511
100,11,23,classic,0.0010701789997256128,2.295444953378521e-08,100,511
100,11,32,minheap,0.0024686200013093185,4.3171127036301265e-08,100,511
100,11,18,minheap,0.0016467710011056624,2.879866486163239e-08,100,511
100,11,67,minheap,0.0014615979998779949,2.5560366883226297e-08,100,511
100,11,98,minheap,0.0012027749999106163,2.1034080696781264e-08,100,511
100,11,23,minheap,0.0012069410004187375,2.1106935545674166e-08,100,511
100,11,32,networkx,0.001283584000702831,4.331233373166776e-08,100,511
100,11,18,networkx,0.0007967519995872863,2.6885025435501325e-08,100,511
100,11,67,networkx,0.0007145569998101564,2.4111496582327646e-08,100,511
100,11,98,networkx,0.000679492999552167,2.2928322220299332e-08,100,511
100,11,23,networkx,0.0006302130004769424,2.1265453436430342e-08,100,511
100,12,51,classic,0.0016846990001795348,3.681526872177545e-08,100,484
100,12,7,classic,0.001210678999996162,2.6456638673091867e-08,100,484
100,12,75,classic,0.0012056140003551263,2.634595461449116e-08,100,484
100,12,24,classic,0.0011560269995243289,2.5262343381565772e-08,100,484
100,12,3,classic,0.0011106219990324462,2.427012026382019e-08,100,484
100,12,51,minheap,0.0018764750002446817,4.0135501094602614e-08,100,484
100,12,7,minheap,0.0013032679999014363,2.7875305682081603e-08,100,484
100,12,75,minheap,0.0011863960007758578,2.5375556818802635e-08,100,484
100,12,24,minheap,0.0010795859998324886,2.309102176812617e-08,100,484
100,12,3,minheap,0.0010566970013314858,2.2601454135052684e-08,100,484
100,12,51,networkx,0.0016497819997312035,3.0044465241678564e-08,100,484
100,12,7,networkx,0.0019493399995553773,3.5499767769558307e-08,100,484
100,12,75,networkx,0.0013412040007096948,2.4424897948873233e-08,100,484
100,12,24,networkx,0.001540621999083669,2.8056533596303106e-08,100,484
100,12,3,networkx,0.001185127001008368,2.1582552721857788e-08,100,484
100,13,19,classic,0.002557079000325757,4.160292407961913e-08,100,445
100,13,48,classic,0.0017565880007168744,2.8579170695815115e-08,100,445
100,13,1,classic,0.0015115480000531534,2.459244187641458e-08,100,445
100,13,27,classic,0.001485580000007758,2.4169950144930922e-08,100,445
100,13,96,classic,0.0012942520006617997,2.105709980668119e-08,100,445
100,13,19,minheap,0.0017707970000628848,3.7002169365910174e-08,100,445
100,13,48,minheap,0.0013654180002049543,2.8531462441517523e-08,100,445
100,13,1,minheap,0.0012472589987737592,2.6062438954969578e-08,100,445
100,13,27,minheap,0.0011291770006209845,2.3595024511327028e-08,100,445
100,13,96,minheap,0.0011416329998610308,2.3855302224405075e-08,100,445
100,13,19,networkx,0.0012798200004908722,3.7634588683853036e-08,100,445
100,13,48,networkx,0.0008761139997659484,2.576314638676562e-08,100,445
100,13,1,networkx,0.000824230000944226,2.4237437338477493e-08,100,445
100,13,27,networkx,0.0008882339989213506,2.6119548992512722e-08,100,445
100,13,96,networkx,0.0008515519984939601,2.5040872305434642e-08,100,445
100,14,13,classic,0.002644414998940192,4.555563173629819e-08,100,529
100,14,0,classic,0.001646389000597992,2.8362526697206366e-08,100,529
100,14,77,classic,0.0014164809999783756,2.4401875962108665e-08,100,529
100,14,96,classic,0.0012098579991288716,2.0842358511662637e-08,100,529
100,14,42,classic,0.0011934489994018804,2.0559678845640696e-08,100,529
100,14,13,minheap,0.0018263140009366907,3.8313837927797286e-08,100,529
100,14,0,minheap,0.0013104570007271832,2.7491787891598776e-08,100,529
100,14,77,minheap,0.0012180950016045244,2.555414591806195e-08,100,529
100,14,96,minheap,0.001137247998485691,2.3858074501616357e-08,100,529
100,14,42,minheap,0.0011442359991633566,2.4004674223934704e-08,100,529
100,14,13,networkx,0.0017460420003772015,4.6802652102610346e-08,100,529
100,14,0,networkx,0.001042678000885644,2.7948981593772457e-08,100,529
100,14,77,networkx,0.0008113059993775096,2.1747055585961373e-08,100,529
100,14,96,networkx,0.0007541180002590409,2.0214131391349872e-08,100,529
100,14,42,networkx,0.0008289890010928502,2.2221048409292176e-08,100,529
100,15,12,classic,0.0016007779995561577,3.720913697859333e-08,100,467
100,15,3,classic,0.0011902169990207767,2.7665889563133462e-08,100,467
100,15,72,classic,0.0011080650001531467,2.57563149814123e-08,100,467
100,15,35,classic,0.0010529070004849927,2.447419993130129e-08,100,467
100,15,88,classic,0.00102049399902171,2.372077889998462e-08,100,467
100,15,12,minheap,0.0015380889999505598,3.5128540060735844e-08,100,467
100,15,3,minheap,0.0012241339991305722,2.7958096202202433e-08,100,467
100,15,72,minheap,0.0011179220000485657,2.5532311696362372e-08,100,467
100,15,35,minheap,0.0011165539999637986,2.5501067830901803e-08,100,467
100,15,88,minheap,0.00108700599957956,2.482621864126081e-08,100,467
100,15,12,networkx,0.0017123699999501696,5.109933485215491e-08,100,467
100,15,3,networkx,0.000910996001039166,2.7185298567149072e-08,100,467
100,15,72,networkx,0.0007046150003588991,2.1026622661129546e-08,100,467
100,15,35,networkx,0.0006655800007138168,1.9861767800395096e-08,100,467
100,15,88,networkx,0.0006618440002057469,1.9750280714674578e-08,100,467
500,1,41,classic,0.02179504400010046,4.4127504339374375e-08,500,2493
500,1,243,classic,0.0162781230010296,3.295762758549569e-08,500,2493
500,1,410,classic,0.015537315000983654,3.1457744940775176e-08,500,2493
500,1,202,classic,0.012580044000060298,2.5470283345132157e-08,500,2493
500,1,246,classic,0.012245514000824187,2.479297459581858e-08,500,2493
500,1,41,minheap,0.008788532999460585,3.506398287668e-08,500,2493
500,1,243,minheap,0.007387489999018726,2.947418219208327e-08,500,2493
500,1,410,minheap,0.007394156998998369,2.9500781804685214e-08,500,2493
500,1,202,minheap,0.007300982999367989,2.912904154635177e-08,500,2493
500,1,246,minheap,0.006116241000199807,2.4402226141020022e-08,500,2493
500,1,41,networkx,0.004974827999831177,3.6080832365424774e-08,500,2493
500,1,243,networkx,0.004015921000245726,2.9126187359155366e-08,500,2493
500,1,410,networkx,0.003842369000267354,2.786747035062435e-08,500,2493
500,1,202,networkx,0.003480538998701377,2.5243233365601666e-08,500,2493
500,1,246,networkx,0.0033698770002956735,2.4440637373572477e-08,500,2493
